==================== FILE: 00000416 ====================
  ours path : Z:\Experiment6\source_dataset\output\bin\00000416_101.bin
  auth path : Z:\authors_data\bin\00000416.bin
  ours: n_faces=33  n_edges=182
  auth: n_faces=33  n_edges=182

=== FACES (sorted by face_area -> uv_avg -> face_adj -> face_loop) ===
   i |   OURS    area  typ lop adj lbl label_name                           |   AUTH    area  typ lop adj lbl label_name                           | DIFF
  -------------------------------------------------------------------------------------------------------------------------------------------------------
   0 |        0.00036    0   1   4  11 Rectangular blind slot               |        0.00036    0   1   4  11 Rectangular blind slot               | MATCH
   1 |        0.00080    0   1   4   0 Stock                                |        0.00080    0   1   4  11 Rectangular blind slot               | label 0->11 (Stock/Rectangular blind slot)
   2 |        0.00094    0   1   3  18 Circular blind step                  |        0.00094    0   1   3  18 Circular blind step                  | MATCH
   3 |        0.00268    0   1   4  11 Rectangular blind slot               |        0.00268    0   1   4  11 Rectangular blind slot               | MATCH
   4 |        0.00268    0   1   4  11 Rectangular blind slot               |        0.00268    0   1   4  11 Rectangular blind slot               | MATCH
   5 |        0.00379    0   1   4   5 6-sided passage                      |        0.00379    0   1   4   5 6-sided passage                      | MATCH
   6 |        0.00379    0   1   4   5 6-sided passage                      |        0.00379    0   1   4   5 6-sided passage                      | MATCH
   7 |        0.00379    0   1   4   5 6-sided passage                      |        0.00379    0   1   4   5 6-sided passage                      | MATCH
   8 |        0.00379    0   1   4   5 6-sided passage                      |        0.00379    0   1   4   5 6-sided passage                      | MATCH
   9 |        0.00379    0   1   4   5 6-sided passage                      |        0.00379    0   1   4   5 6-sided passage                      | MATCH
  10 |        0.00379    0   1   4   5 6-sided passage                      |        0.00379    0   1   4   5 6-sided passage                      | MATCH
  11 |        0.00381    1   1   4  18 Circular blind step                  |        0.00381    1   1   4  18 Circular blind step                  | MATCH
  12 |        0.00987    0   1   4   1 Rectangular through slot             |        0.00987    0   1   4   1 Rectangular through slot             | MATCH
  13 |        0.00987    0   1   4   1 Rectangular through slot             |        0.00987    0   1   4   1 Rectangular through slot             | MATCH
  14 |        0.01991    0   1   6   0 Stock                                |        0.01991    0   1   6   0 Stock                                | MATCH
  15 |        0.02219    0   1   8   4 Triangular passage                   |        0.02219    0   1   8   4 Triangular passage                   | MATCH
  16 |        0.02255    0   1   4   4 Triangular passage                   |        0.02255    0   1   4   4 Triangular passage                   | MATCH
  17 |        0.02255    0   1   4   4 Triangular passage                   |        0.02255    0   1   4   4 Triangular passage                   | MATCH
  18 |        0.03784    0   1   6   0 Stock                                |        0.03784    0   1   6   0 Stock                                | MATCH
  19 |        0.05834    0   1   5   7 2-sided through step                 |        0.05834    0   1   5   7 2-sided through step                 | MATCH
  20 |        0.05855    0   1   5   7 2-sided through step                 |        0.05855    0   1   5   7 2-sided through step                 | MATCH
  21 |        0.06409    0   1   6   0 Stock                                |        0.06409    0   1   6   0 Stock                                | MATCH
  22 |        0.08266    0   1   6   7 2-sided through step                 |        0.08266    0   1   6   7 2-sided through step                 | MATCH
  23 |        0.08477    0   1   5   0 Stock                                |        0.08477    0   1   5   0 Stock                                | MATCH
  24 |        0.08571    0   1   4   0 Stock                                |        0.08571    0   1   4   0 Stock                                | MATCH
  25 |        0.08997    0   1   4   0 Stock                                |        0.08997    0   1   4   0 Stock                                | MATCH
  26 |        0.09903    0   1   4   1 Rectangular through slot             |        0.09903    0   1   4   1 Rectangular through slot             | MATCH
  27 |        0.18308    0   2  19   0 Stock                                |        0.18308    0   2  19   0 Stock                                | MATCH
  28 |        0.18572    0   1   4   0 Stock                                |        0.18572    0   1   4   0 Stock                                | MATCH
  29 |        0.28192    0   2  15   0 Stock                                |        0.28192    0   2  15   0 Stock                                | MATCH
  30 |        0.35562    0   2  11   0 Stock                                |        0.35562    0   2  11   0 Stock                                | MATCH
  31 |        0.35867    0   1   5   0 Stock                                |        0.35867    0   1   5   0 Stock                                | MATCH
  32 |        0.54771    0   2  14   0 Stock                                |        0.54771    0   2  14   0 Stock                                | MATCH

